Entity,Code,Year,Sustainable fisheries as a proportion of GDP
Angola,AGO,2011,0.83
Angola,AGO,2013,1.17
Angola,AGO,2015,2.12
Angola,AGO,2017,2.37
Angola,AGO,2019,1.85
Angola,AGO,2021,2.32
Anguilla,AIA,2011,1.12
Anguilla,AIA,2013,0.95
Anguilla,AIA,2015,1.03
Anguilla,AIA,2019,1.28
Antigua and Barbuda,ATG,2011,0.6
Antigua and Barbuda,ATG,2013,0.6
Antigua and Barbuda,ATG,2015,0.52
Antigua and Barbuda,ATG,2017,0.57
Antigua and Barbuda,ATG,2019,0.58
Antigua and Barbuda,ATG,2021,0.65
Argentina,ARG,2011,0.07
Argentina,ARG,2013,0.11
Argentina,ARG,2015,0.09
Argentina,ARG,2017,0.12
Argentina,ARG,2019,0.21
Argentina,ARG,2021,0.19
Asia (UN),,2011,0.54
Asia (UN),,2013,0.49
Asia (UN),,2015,0.49
Asia (UN),,2017,0.45
Asia (UN),,2019,0.42
Asia (UN),,2021,0.38
Australia and New Zealand (UN SDG),,2011,0.5
Australia and New Zealand (UN SDG),,2013,0.56
Australia and New Zealand (UN SDG),,2015,0.58
Australia and New Zealand (UN SDG),,2017,0.57
Australia and New Zealand (UN SDG),,2019,0.51
Bahamas,BHS,2011,0.62
Bahamas,BHS,2013,0.43
Bahamas,BHS,2015,0.43
Bahamas,BHS,2017,0.39
Bahamas,BHS,2019,0.4
Bahrain,BHR,2011,0.07
Bahrain,BHR,2013,0.06
Bahrain,BHR,2015,0.06
Bahrain,BHR,2017,0.06
Bahrain,BHR,2019,0.06
Bahrain,BHR,2021,0.05
Bangladesh,BGD,2011,0.49
Bangladesh,BGD,2013,0.45
Bangladesh,BGD,2015,0.38
Bangladesh,BGD,2017,0.32
Bangladesh,BGD,2019,0.29
Bangladesh,BGD,2021,0.24
Barbados,BRB,2011,0.05
Barbados,BRB,2013,0.1
Barbados,BRB,2015,0.07
Barbados,BRB,2017,0.09
Barbados,BRB,2019,0.08
Belgium,BEL,2011,0.01
Belgium,BEL,2013,0.01
Belgium,BEL,2015,0.01
Belgium,BEL,2017,0.01
Belgium,BEL,2019,0.01
Belgium,BEL,2021,0.01
Belize,BLZ,2011,0.94
Belize,BLZ,2013,1.43
Belize,BLZ,2015,1.26
Belize,BLZ,2017,0.6
Belize,BLZ,2019,0.64
Belize,BLZ,2021,0.27
Benin,BEN,2011,0.09
Benin,BEN,2013,0.17
Benin,BEN,2015,0.19
Benin,BEN,2017,0.11
Benin,BEN,2019,0.22
Bermuda,BMU,2011,0.11
Bermuda,BMU,2013,0.07
Bermuda,BMU,2015,0.04
Bermuda,BMU,2017,0.07
Bermuda,BMU,2019,0.05
Bermuda,BMU,2021,0.05
Brunei,BRN,2011,0.13
Brunei,BRN,2013,0.16
Brunei,BRN,2015,0.27
Brunei,BRN,2017,0.26
Brunei,BRN,2019,0.24
Brunei,BRN,2021,0.27
Bulgaria,BGR,2011,0.01
Bulgaria,BGR,2013,0.01
Bulgaria,BGR,2015,0.01
Bulgaria,BGR,2017,0.01
Bulgaria,BGR,2019,0.01
Bulgaria,BGR,2021,0
Cambodia,KHM,2011,0.92
Cambodia,KHM,2013,0.82
Cambodia,KHM,2015,0.79
Cambodia,KHM,2017,0.6
Cambodia,KHM,2019,0.54
Cameroon,CMR,2011,0.55
Cameroon,CMR,2013,0.61
Cameroon,CMR,2015,0.65
Cameroon,CMR,2017,0.73
Cameroon,CMR,2019,0.75
Canada,CAN,2011,0.05
Canada,CAN,2013,0.04
Canada,CAN,2015,0.06
Canada,CAN,2017,0.05
Canada,CAN,2019,0.06
Cape Verde,CPV,2011,0.48
Cape Verde,CPV,2013,0.59
Cape Verde,CPV,2015,0.86
Cape Verde,CPV,2017,0.81
Cape Verde,CPV,2019,0.6
Cape Verde,CPV,2021,0.56
Cayman Islands,CYM,2011,0.02
Cayman Islands,CYM,2013,0.01
Cayman Islands,CYM,2015,0.02
Cayman Islands,CYM,2017,0.03
Cayman Islands,CYM,2019,0.03
Cayman Islands,CYM,2021,0.02
Central and Southern Asia (UN SDG),,2011,0.25
Central and Southern Asia (UN SDG),,2013,0.25
Central and Southern Asia (UN SDG),,2015,0.25
Central and Southern Asia (UN SDG),,2017,0.25
Central and Southern Asia (UN SDG),,2019,0.21
Central and Southern Asia (UN SDG),,2021,0.18
Chile,CHL,2011,0.28
Chile,CHL,2013,0.17
Chile,CHL,2015,0.09
Chile,CHL,2017,0.19
Chile,CHL,2019,0.13
Chile,CHL,2021,0.11
Colombia,COL,2011,0.04
Colombia,COL,2013,0.03
Colombia,COL,2015,0.03
Colombia,COL,2017,0.03
Colombia,COL,2019,0.03
Colombia,COL,2021,0.04
Comoros,COM,2011,4.59
Comoros,COM,2013,4.5
Comoros,COM,2015,5.46
Comoros,COM,2017,6.75
Comoros,COM,2019,7.15
Congo,COG,2011,0.21
Congo,COG,2013,0.21
Congo,COG,2015,0.22
Congo,COG,2017,0.29
Congo,COG,2019,0.2
Congo,COG,2021,0.2
Cook Islands,COK,2011,0.55
Cook Islands,COK,2013,0.41
Cook Islands,COK,2015,0.22
Cook Islands,COK,2017,0.27
Cook Islands,COK,2019,0.39
Cook Islands,COK,2021,0.39
Costa Rica,CRI,2011,0.03
Costa Rica,CRI,2013,0.03
Costa Rica,CRI,2015,0.03
Costa Rica,CRI,2017,0.03
Costa Rica,CRI,2019,0.02
Costa Rica,CRI,2021,0.02
Croatia,HRV,2011,0.08
Croatia,HRV,2013,0.08
Croatia,HRV,2015,0.07
Croatia,HRV,2017,0.08
Croatia,HRV,2019,0.06
Croatia,HRV,2021,0.07
Cyprus,CYP,2011,0.01
Cyprus,CYP,2013,0.01
Cyprus,CYP,2015,0.01
Cyprus,CYP,2017,0.01
Cyprus,CYP,2019,0.01
Denmark,DNK,2011,0.08
Denmark,DNK,2013,0.08
Denmark,DNK,2015,0.09
Denmark,DNK,2017,0.09
Denmark,DNK,2019,0.07
Djibouti,DJI,2013,0.37
Djibouti,DJI,2015,0.3
Djibouti,DJI,2017,0.34
Djibouti,DJI,2019,0.31
Dominica,DMA,2011,0.2
Dominica,DMA,2013,0.16
Dominica,DMA,2015,0.27
Dominica,DMA,2017,0.24
Dominica,DMA,2019,0.24
Dominica,DMA,2021,0.29
Eastern and South-Eastern Asia (UN SDG),,2011,1.06
Eastern and South-Eastern Asia (UN SDG),,2013,0.89
Eastern and South-Eastern Asia (UN SDG),,2015,0.91
